Cd;Contrt;Mod;DtContr;DtVencOp;VlrContr;ID_VENC;TIPO;VALOR;VlrProxParcela;DtaProxParcela;QtdParcelas
47317;615823;1350;25/01/2022;25/02/2022;2,53;0;v110;2,53;2,53;25/02/2022;1
145327;1238773;1350;10/01/2022;10/02/2022;108,93;0;v110;108,93;108,93;10/02/2022;1
356107;1949149;1350;15/01/2022;15/02/2022;3,24;0;v110;3,24;3,24;15/02/2022;1
618322;2318126;1350;15/01/2022;23/02/2022;224,18;0;v110;224,18;224,18;23/02/2022;1
969117;2274630;1350;23/01/2022;23/02/2022;11,72;0;v110;11,72;11,72;23/02/2022;1
1048503;1279984;1350;05/01/2022;05/02/2022;133,76;0;v110;133,76;133,76;05/02/2022;1
1599569;2259048;1350;23/01/2022;23/02/2022;3,45;0;v110;3,45;3,45;23/02/2022;1
1841289;2302746;1350;23/01/2022;23/02/2022;3,12;0;v110;3,12;3,12;23/02/2022;1
2022311;1805439;1350;15/01/2022;15/02/2022;15,96;0;v110;15,96;15,96;15/02/2022;1
2264161;2152636;1350;15/01/2022;15/02/2022;74,31;0;v110;74,31;74,31;15/02/2022;1
2507161;2258846;1350;23/01/2022;23/02/2022;4,44;0;v110;4,44;4,44;23/02/2022;1
2648300;1143184;1350;20/01/2022;20/02/2022;94,91;0;v110;94,91;94,91;20/02/2022;1
2654385;1313057;1350;20/01/2022;20/02/2022;9,14;0;v110;9,14;9,14;20/02/2022;1
2794390;1357840;1350;15/01/2022;15/02/2022;353,7;0;v110;353,7;353,7;15/02/2022;1
2997312;1733322;1350;08/01/2022;08/02/2022;13,4;0;v110;13,4;13,4;08/02/2022;1
3076377;1768098;1350;15/01/2022;15/02/2022;5,73;0;v110;5,73;5,73;15/02/2022;1
3359166;1540974;1350;13/01/2022;13/02/2022;17,89;0;v110;17,89;17,89;13/02/2022;1
3394310;1083853;1350;25/01/2022;25/02/2022;5,08;0;v110;5,08;5,08;25/02/2022;1
3416496;1863894;1350;13/01/2022;13/02/2022;151,08;0;v110;151,08;151,08;13/02/2022;1
3541126;1962530;1350;13/01/2022;13/02/2022;6,35;0;v110;6,35;6,35;13/02/2022;1
3676307;335683;1350;25/01/2022;25/02/2022;10,15;0;v110;10,15;10,15;25/02/2022;1
4747119;1931005;1350;23/01/2022;23/02/2022;16,97;0;v110;16,97;16,97;23/02/2022;1
5067375;1010908;1350;10/01/2022;10/02/2022;586,83;0;v110;586,83;586,83;10/02/2022;1
5406331;2433556;1350;15/01/2022;15/02/2022;266,47;0;v110;266,47;266,47;15/02/2022;1
6000592;1186958;1350;13/01/2022;13/02/2022;2,77;0;v110;2,77;2,77;13/02/2022;1
6011446;1756976;1350;13/01/2022;13/02/2022;30,27;0;v110;30,27;30,27;13/02/2022;1
6066429;2388951;1350;23/01/2022;23/02/2022;12,52;0;v110;12,52;12,52;23/02/2022;1
6074448;1240809;1350;15/01/2022;15/02/2022;29,89;0;v110;29,89;29,89;15/02/2022;1
6116469;2359791;1350;23/01/2022;23/02/2022;13,93;0;v110;13,93;13,93;23/02/2022;1
6672345;2341553;1350;05/01/2022;05/02/2022;0,02;0;v110;0,02;0,02;05/02/2022;1
7055196;1936243;1350;15/01/2022;15/02/2022;0,16;0;v110;0,16;0,16;15/02/2022;1
7083483;2117001;1350;15/01/2022;15/02/2022;1,1;0;v110;1,1;1,1;15/02/2022;1
7143486;2301785;1350;23/01/2022;23/02/2022;1,42;0;v110;1,42;1,42;23/02/2022;1
7159307;642780;1350;01/01/2022;01/02/2022;13,12;0;v110;13,12;13,12;01/02/2022;1
7389302;2146007;1350;23/01/2022;23/02/2022;8,19;0;v110;8,19;8,19;23/02/2022;1
7762119;2061567;1350;15/01/2022;15/02/2022;2,96;0;v110;2,96;2,96;15/02/2022;1
7763433;2380041;1350;15/01/2022;15/02/2022;16,7;0;v110;16,7;16,7;15/02/2022;1
8094462;1874768;1350;15/01/2022;15/02/2022;68,37;0;v110;68,37;68,37;15/02/2022;1
8165319;1500092;1350;20/01/2022;20/02/2022;4,52;0;v110;4,52;4,52;20/02/2022;1
8431132;2402184;1350;15/01/2022;15/02/2022;5,94;0;v110;5,94;5,94;15/02/2022;1
8642184;2233377;1350;08/01/2022;08/02/2022;3,16;0;v110;3,16;3,16;08/02/2022;1
9266127;2156843;1350;15/01/2022;15/02/2022;93,59;0;v110;93,59;93,59;15/02/2022;1
9366423;1182963;1350;03/01/2022;03/02/2022;4;0;v110;4;4;03/02/2022;1
9412719;2432604;1350;23/01/2022;23/02/2022;178,85;0;v110;178,85;178,85;23/02/2022;1
9719105;1975328;1350;08/01/2022;08/02/2022;15,96;0;v110;15,96;15,96;08/02/2022;1
9839429;888554;1350;25/01/2022;25/02/2022;1,97;0;v110;1,97;1,97;25/02/2022;1
10091335;410533;1350;25/01/2022;25/02/2022;12,89;0;v110;12,89;12,89;25/02/2022;1
10129243;2019010;1350;23/01/2022;23/02/2022;371,12;0;v110;371,12;371,12;23/02/2022;1
10341382;414695;1350;10/01/2022;10/02/2022;113,47;0;v110;113,47;113,47;10/02/2022;1
10410457;1110908;1350;03/01/2022;03/02/2022;61,41;0;v110;61,41;61,41;03/02/2022;1
10432183;2032936;1350;15/01/2022;15/02/2022;45,7;0;v110;45,7;45,7;15/02/2022;1
10468617;2344526;1350;13/01/2022;13/02/2022;47,27;0;v110;47,27;47,27;13/02/2022;1
10566201;2345860;1350;08/01/2022;08/02/2022;82,59;0;v110;82,59;82,59;08/02/2022;1
10614109;1914948;1350;20/01/2022;20/02/2022;14,06;0;v110;14,06;14,06;20/02/2022;1
10640703;1657678;1350;08/01/2022;08/02/2022;132,69;0;v110;132,69;132,69;08/02/2022;1
10744312;2407467;1350;08/01/2022;08/02/2022;8,56;0;v110;8,56;8,56;08/02/2022;1
10876308;2031630;1350;23/01/2022;23/02/2022;4,2;0;v110;4,2;4,2;23/02/2022;1
11048107;2039272;1350;08/01/2022;08/02/2022;4,76;0;v110;4,76;4,76;08/02/2022;1
11114347;79237;1350;05/01/2022;05/02/2022;9,21;0;v110;9,21;9,21;05/02/2022;1
11226498;840219;1350;10/01/2022;10/02/2022;38,33;0;v110;38,33;38,33;10/02/2022;1
11261307;560477;1350;10/01/2022;10/02/2022;16,58;0;v110;16,58;16,58;10/02/2022;1
11616288;2151964;1350;23/01/2022;23/02/2022;17,19;0;v110;17,19;17,19;23/02/2022;1
11683120;1892358;1350;23/01/2022;23/02/2022;25,05;0;v110;25,05;25,05;23/02/2022;1
11798378;1761516;1350;23/01/2022;23/02/2022;6,42;0;v110;6,42;6,42;23/02/2022;1
11816457;1540681;1350;25/01/2022;25/02/2022;5,93;0;v110;5,93;5,93;25/02/2022;1
12374113;2338838;1350;03/01/2022;03/02/2022;13,72;0;v110;13,72;13,72;03/02/2022;1
13465392;1718737;1350;08/01/2022;08/02/2022;129,41;0;v110;129,41;129,41;08/02/2022;1
13824112;2290279;1350;23/01/2022;23/02/2022;5,11;0;v110;5,11;5,11;23/02/2022;1
13865307;1451674;1350;08/01/2022;08/02/2022;5,42;0;v110;5,42;5,42;08/02/2022;1
14285355;2077661;1350;15/01/2022;15/02/2022;5,96;0;v110;5,96;5,96;15/02/2022;1
14367599;1466321;1350;03/01/2022;03/02/2022;134,06;0;v110;134,06;134,06;03/02/2022;1
14393409;2426926;1350;23/01/2022;23/02/2022;2,19;0;v110;2,19;2,19;23/02/2022;1
14471302;1376382;1350;10/01/2022;10/02/2022;12,56;0;v110;12,56;12,56;10/02/2022;1
14498340;2248228;1350;03/01/2022;03/02/2022;0,85;0;v110;0,85;0,85;03/02/2022;1
14654490;1481477;1350;13/01/2022;13/02/2022;12,62;0;v110;12,62;12,62;13/02/2022;1
14782308;1813835;1350;03/01/2022;03/02/2022;102,75;0;v110;102,75;102,75;03/02/2022;1
14782308;643736;1350;01/01/2022;01/02/2022;26,92;0;v110;26,92;26,92;01/02/2022;1
14867486;2083116;1350;23/01/2022;23/02/2022;13,16;0;v110;13,16;13,16;23/02/2022;1
14875403;760882;1350;10/01/2022;10/02/2022;284,63;0;v110;284,63;284,63;10/02/2022;1
14881470;2410688;1350;08/01/2022;08/02/2022;2,96;0;v110;2,96;2,96;08/02/2022;1
14900440;984260;1350;10/01/2022;10/02/2022;254,49;0;v110;254,49;254,49;10/02/2022;1
14902222;2350914;1350;15/01/2022;15/02/2022;7,2;0;v110;7,2;7,2;15/02/2022;1
14926164;2130781;1350;20/01/2022;20/02/2022;28,36;0;v110;28,36;28,36;20/02/2022;1
14928450;2299949;1350;03/01/2022;03/02/2022;5,71;0;v110;5,71;5,71;03/02/2022;1
14977311;1798845;1350;08/01/2022;08/02/2022;728,29;0;v110;728,29;728,29;08/02/2022;1
15019179;2211965;1350;05/01/2022;05/02/2022;5,5;0;v110;5,5;5,5;05/02/2022;1
15084400;1981913;1350;13/01/2022;13/02/2022;86,58;0;v110;86,58;86,58;13/02/2022;1
15084400;2170843;1350;15/01/2022;15/02/2022;65,51;0;v110;65,51;65,51;15/02/2022;1
15215431;1991748;1350;08/01/2022;08/02/2022;703,03;0;v110;703,03;703,03;08/02/2022;1
15230236;2211435;1350;23/01/2022;23/02/2022;6,14;0;v110;6,14;6,14;23/02/2022;1
15614301;107780;1350;10/01/2022;10/02/2022;8,62;0;v110;8,62;8,62;10/02/2022;1
15632385;471194;1350;20/01/2022;20/02/2022;1107,85;0;v110;1107,85;1107,85;20/02/2022;1
15900304;1085682;1350;25/01/2022;25/02/2022;6,82;0;v110;6,82;6,82;25/02/2022;1
16694350;547209;1350;15/01/2022;15/02/2022;0,36;0;v110;0,36;0,36;15/02/2022;1
16980441;2328831;1350;23/01/2022;23/02/2022;11,55;0;v110;11,55;11,55;23/02/2022;1
17048184;2314618;1350;13/01/2022;13/02/2022;2,48;0;v110;2,48;2,48;13/02/2022;1
17049318;1218732;1350;01/01/2022;01/02/2022;0,9;0;v110;0,9;0,9;01/02/2022;1
17952360;1400539;1350;15/01/2022;15/02/2022;664,3;0;v110;664,3;664,3;15/02/2022;1
18033369;2157670;1350;23/01/2022;23/02/2022;90,82;0;v110;90,82;90,82;23/02/2022;1
18080367;2299240;1350;23/01/2022;23/02/2022;21,05;0;v110;21,05;21,05;23/02/2022;1
18174426;1243698;1350;05/01/2022;05/02/2022;5,1;0;v110;5,1;5,1;05/02/2022;1
18301479;1111941;1350;05/01/2022;05/02/2022;16,47;0;v110;16,47;16,47;05/02/2022;1
18959407;1756995;1350;20/01/2022;20/02/2022;101,68;0;v110;101,68;101,68;20/02/2022;1
18966365;1860720;1350;15/01/2022;15/02/2022;14,5;0;v110;14,5;14,5;15/02/2022;1
18966365;385702;1350;23/01/2022;23/02/2022;24,63;0;v110;24,63;24,63;23/02/2022;1
19004206;2089519;1350;23/01/2022;23/02/2022;813,53;0;v110;813,53;813,53;23/02/2022;1
19209444;1536261;1350;13/01/2022;13/02/2022;144,57;0;v110;144,57;144,57;13/02/2022;1
19319460;1349260;1350;15/01/2022;15/02/2022;312,03;0;v110;312,03;312,03;15/02/2022;1
19561598;1592910;1350;13/01/2022;13/02/2022;78,34;0;v110;78,34;78,34;13/02/2022;1
19638485;2207016;1350;05/01/2022;05/02/2022;2,5;0;v110;2,5;2,5;05/02/2022;1
19732406;2234347;1350;23/01/2022;23/02/2022;0,85;0;v110;0,85;0,85;23/02/2022;1
19834314;1472823;1350;03/01/2022;03/02/2022;37;0;v110;37;37;03/02/2022;1
19834314;2137190;1350;23/01/2022;23/02/2022;8,28;0;v110;8,28;8,28;23/02/2022;1
19840390;1845184;1350;20/01/2022;20/02/2022;7,83;0;v110;7,83;7,83;20/02/2022;1
20219431;1636509;1350;13/01/2022;13/02/2022;353,88;0;v110;353,88;353,88;13/02/2022;1
20503156;1978109;1350;08/01/2022;08/02/2022;42,4;0;v110;42,4;42,4;08/02/2022;1
20679866;2298415;1350;23/12/2021;08/02/2022;1,41;0;v110;1,41;1,41;08/02/2022;1
20970102;2148958;1350;13/01/2022;13/02/2022;67,34;0;v110;67,34;67,34;13/02/2022;1
21074305;1408215;1350;10/01/2022;10/02/2022;1,44;0;v110;1,44;1,44;10/02/2022;1
21089337;1873917;1350;15/01/2022;15/02/2022;2,87;0;v110;2,87;2,87;15/02/2022;1
21089337;2109555;1350;20/01/2022;20/02/2022;5,72;0;v110;5,72;5,72;20/02/2022;1
21145180;2018608;1350;03/01/2022;03/02/2022;32,41;0;v110;32,41;32,41;03/02/2022;1
21146314;1100584;1350;20/01/2022;20/02/2022;523,26;0;v110;523,26;523,26;20/02/2022;1
21918490;2416715;1350;23/01/2022;23/02/2022;11,67;0;v110;11,67;11,67;23/02/2022;1
21941475;841241;1350;10/01/2022;10/02/2022;12,58;0;v110;12,58;12,58;10/02/2022;1
21950113;1959823;1350;13/01/2022;13/02/2022;85,77;0;v110;85,77;85,77;13/02/2022;1
22010548;2302987;1350;13/01/2022;13/02/2022;494,46;0;v110;494,46;494,46;13/02/2022;1
22045414;1384028;1350;13/01/2022;13/02/2022;4,33;0;v110;4,33;4,33;13/02/2022;1
22045414;1901622;1350;13/01/2022;13/02/2022;3,72;0;v110;3,72;3,72;13/02/2022;1
22184104;2014947;1350;15/01/2022;15/02/2022;164,32;0;v110;164,32;164,32;15/02/2022;1
22204156;2367484;1350;03/01/2022;03/02/2022;1,58;0;v110;1,58;1,58;03/02/2022;1
22469451;2158407;1350;08/01/2022;08/02/2022;12,06;0;v110;12,06;12,06;08/02/2022;1
22484418;1756232;1350;20/01/2022;20/02/2022;34,4;0;v110;34,4;34,4;20/02/2022;1
22617310;2249684;1350;23/01/2022;23/02/2022;2,43;0;v110;2,43;2,43;23/02/2022;1
22639390;2379920;1350;08/01/2022;08/02/2022;4,93;0;v110;4,93;4,93;08/02/2022;1
22657452;1306626;1350;13/01/2022;13/02/2022;65,91;0;v110;65,91;65,91;13/02/2022;1
23290340;1018851;1350;23/01/2022;23/02/2022;320,57;0;v110;320,57;320,57;23/02/2022;1
23423323;2096357;1350;15/01/2022;15/02/2022;4,32;0;v110;4,32;4,32;15/02/2022;1
23453400;1415076;1350;15/01/2022;15/02/2022;5,73;0;v110;5,73;5,73;15/02/2022;1
23676450;726547;1350;10/01/2022;10/02/2022;18,89;0;v110;18,89;18,89;10/02/2022;1
23726652;1923987;1350;08/01/2022;08/02/2022;582,11;0;v110;582,11;582,11;08/02/2022;1
24085383;1901152;1350;20/01/2022;20/02/2022;24,92;0;v110;24,92;24,92;20/02/2022;1
24271330;1856262;1350;03/01/2022;03/02/2022;256,01;0;v110;256,01;256,01;03/02/2022;1
24334600;2309326;1350;23/01/2022;23/02/2022;13,59;0;v110;13,59;13,59;23/02/2022;1
24379379;1312175;1350;05/01/2022;05/02/2022;110,68;0;v110;110,68;110,68;05/02/2022;1
24379379;1842715;1350;01/01/2022;01/02/2022;135,29;0;v110;135,29;135,29;01/02/2022;1
24656208;2378143;1350;05/01/2022;05/02/2022;6,52;0;v110;6,52;6,52;05/02/2022;1
24951633;1922193;1350;10/01/2022;10/02/2022;3,69;0;v110;3,69;3,69;10/02/2022;1
25172131;2261383;1350;23/01/2022;23/02/2022;23,85;0;v110;23,85;23,85;23/02/2022;1
25332350;2367529;1350;05/01/2022;05/02/2022;2,36;0;v110;2,36;2,36;05/02/2022;1
26036169;2408007;1350;15/01/2022;15/02/2022;3,64;0;v110;3,64;3,64;15/02/2022;1
26268370;2300406;1350;15/01/2022;15/02/2022;7,03;0;v110;7,03;7,03;15/02/2022;1
26695448;2336990;1350;01/01/2022;01/02/2022;1,75;0;v110;1,75;1,75;01/02/2022;1
26713365;835595;1350;10/01/2022;10/02/2022;4,49;0;v110;4,49;4,49;10/02/2022;1
26928132;2218764;1350;13/01/2022;13/02/2022;11,81;0;v110;11,81;11,81;13/02/2022;1
27036618;1923599;1350;10/01/2022;10/02/2022;18,47;0;v110;18,47;18,47;10/02/2022;1
27433455;2368656;1350;23/01/2022;23/02/2022;5,43;0;v110;5,43;5,43;23/02/2022;1
27512320;1850563;1350;03/01/2022;03/02/2022;332,85;0;v110;332,85;332,85;03/02/2022;1
27567303;769267;1350;03/01/2022;03/02/2022;37,96;0;v110;37,96;37,96;03/02/2022;1
27589200;2136669;1350;15/01/2022;15/02/2022;2,5;0;v110;2,5;2,5;15/02/2022;1
27670317;972051;1350;25/01/2022;25/02/2022;15,74;0;v110;15,74;15,74;25/02/2022;1
27973131;2282273;1350;13/01/2022;13/02/2022;48,17;0;v110;48,17;48,17;13/02/2022;1
28101316;1189976;1350;23/01/2022;23/02/2022;14,1;0;v110;14,1;14,1;23/02/2022;1
28358350;1119739;1350;10/01/2022;10/02/2022;10,43;0;v110;10,43;10,43;10/02/2022;1
28915305;1889702;1350;15/01/2022;15/02/2022;218,02;0;v110;218,02;218,02;15/02/2022;1
29680379;317078;1350;20/01/2022;20/02/2022;5,14;0;v110;5,14;5,14;20/02/2022;1
29844665;1918387;1350;10/01/2022;10/02/2022;16,44;0;v110;16,44;16,44;10/02/2022;1
30509807;1344600;1350;08/01/2022;08/02/2022;61,12;0;v110;61,12;61,12;08/02/2022;1
30513154;1548517;1350;20/01/2022;20/02/2022;62,59;0;v110;62,59;62,59;20/02/2022;1
31273548;2435903;1350;15/01/2022;15/02/2022;1,62;0;v110;1,62;1,62;15/02/2022;1
31714188;1900771;1350;23/01/2022;23/02/2022;4,7;0;v110;4,7;4,7;23/02/2022;1
31760104;2395381;1350;03/01/2022;03/02/2022;5,84;0;v110;5,84;5,84;03/02/2022;1
31987230;2246814;1350;08/01/2022;08/02/2022;675,23;0;v110;675,23;675,23;08/02/2022;1
32498160;2350601;1350;15/01/2022;15/02/2022;11,01;0;v110;11,01;11,01;15/02/2022;1
33007497;1493802;1350;03/01/2022;03/02/2022;4,38;0;v110;4,38;4,38;03/02/2022;1
33070423;2438320;1350;23/01/2022;23/02/2022;1,04;0;v110;1,04;1,04;23/02/2022;1
33215332;1979270;1350;13/01/2022;13/02/2022;264,83;0;v110;264,83;264,83;13/02/2022;1
33280312;1385096;1350;10/01/2022;10/02/2022;14,44;0;v110;14,44;14,44;10/02/2022;1
33314586;2074601;1350;15/01/2022;15/02/2022;48,76;0;v110;48,76;48,76;15/02/2022;1
33450331;2154956;1350;23/01/2022;23/02/2022;22,89;0;v110;22,89;22,89;23/02/2022;1
33536481;2087216;1350;23/01/2022;23/02/2022;800,68;0;v110;800,68;800,68;23/02/2022;1
33558370;557492;1350;10/01/2022;10/02/2022;31,82;0;v110;31,82;31,82;10/02/2022;1
33563373;1736269;1350;20/01/2022;20/02/2022;195,85;0;v110;195,85;195,85;20/02/2022;1
34090665;2276842;1350;15/01/2022;15/02/2022;19,12;0;v110;19,12;19,12;15/02/2022;1
34205152;2266699;1350;13/01/2022;13/02/2022;49,87;0;v110;49,87;49,87;13/02/2022;1
34291300;2137787;1350;15/01/2022;15/02/2022;56,89;0;v110;56,89;56,89;15/02/2022;1
34375155;1885468;1350;08/01/2022;08/02/2022;20,43;0;v110;20,43;20,43;08/02/2022;1
34573119;2417271;1350;13/01/2022;13/02/2022;9,49;0;v110;9,49;9,49;13/02/2022;1
34695494;2173138;1350;01/01/2022;01/02/2022;46,99;0;v110;46,99;46,99;01/02/2022;1
34726390;2091347;1350;15/01/2022;15/02/2022;18,93;0;v110;18,93;18,93;15/02/2022;1
34792180;1982959;1350;15/01/2022;15/02/2022;45,3;0;v110;45,3;45,3;15/02/2022;1
35265345;1601019;1350;15/01/2022;15/02/2022;2,84;0;v110;2,84;2,84;15/02/2022;1
35305401;1693348;1350;15/01/2022;15/02/2022;0,59;0;v110;0,59;0,59;15/02/2022;1
35307447;1165885;1350;05/01/2022;05/02/2022;291,46;0;v110;291,46;291,46;05/02/2022;1
35426454;1808261;1350;13/01/2022;13/02/2022;4,5;0;v110;4,5;4,5;13/02/2022;1
35436174;2443318;1350;13/01/2022;13/02/2022;5,45;0;v110;5,45;5,45;13/02/2022;1
